iteration,state,state_str,cost,is_valid,size,accepted,proposed_state,proposed_state_str,proposed_cost,best_state,best_state_str,best_cost,best_size,best_is_valid,method,seed,initialization,initial_state,initial_state_str,graph_name,run_id
0,"(1, 0, 0, 1, 0)",10010,-2,True,2,True,"(1, 0, 0, 1, 0)",10010,-2,"(1, 0, 0, 1, 0)",10010,-2,2,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
1,"(1, 0, 0, 1, 0)",10010,-2,True,2,False,"(1, 0, 1, 1, 0)",10110,2,"(1, 0, 0, 1, 0)",10010,-2,2,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
2,"(1, 0, 0, 1, 0)",10010,-2,True,2,False,"(1, 0, 0, 0, 0)",10000,-1,"(1, 0, 0, 1, 0)",10010,-2,2,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
3,"(1, 0, 0, 1, 0)",10010,-2,True,2,False,"(1, 1, 0, 1, 0)",11010,7,"(1, 0, 0, 1, 0)",10010,-2,2,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
4,"(1, 0, 0, 1, 0)",10010,-2,True,2,False,"(1, 0, 0, 0, 0)",10000,-1,"(1, 0, 0, 1, 0)",10010,-2,2,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
5,"(1, 0, 0, 1, 0)",10010,-2,True,2,False,"(0, 0, 0, 1, 0)",00010,-1,"(1, 0, 0, 1, 0)",10010,-2,2,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
6,"(1, 0, 0, 1, 0)",10010,-2,True,2,False,"(0, 0, 0, 1, 0)",00010,-1,"(1, 0, 0, 1, 0)",10010,-2,2,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
7,"(1, 0, 0, 1, 1)",10011,-3,True,3,True,"(1, 0, 0, 1, 1)",10011,-3,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
8,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 1, 0, 1, 1)",11011,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
9,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 0, 0, 1)",10001,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
10,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 0, 0, 1)",10001,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
11,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 0, 1, 0)",10010,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
12,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(0, 0, 0, 1, 1)",00011,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
13,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 1, 0, 1, 1)",11011,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
14,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(0, 0, 0, 1, 1)",00011,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
15,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 1, 1, 1)",10111,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
16,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 1, 1, 1)",10111,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
17,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 1, 1, 1)",10111,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
18,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 1, 1, 1)",10111,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
19,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 1, 1, 1)",10111,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
20,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 0, 1, 0)",10010,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
21,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 1, 0, 1, 1)",11011,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
22,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 1, 1, 1)",10111,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
23,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 0, 0, 1)",10001,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
24,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 0, 0, 1)",10001,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
25,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 1, 1, 1)",10111,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
26,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(0, 0, 0, 1, 1)",00011,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
27,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 1, 0, 1, 1)",11011,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
28,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(0, 0, 0, 1, 1)",00011,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
29,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 1, 0, 1, 1)",11011,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
30,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 1, 1, 1)",10111,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
31,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 1, 1, 1)",10111,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
32,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(0, 0, 0, 1, 1)",00011,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
33,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 0, 0, 1)",10001,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
34,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(0, 0, 0, 1, 1)",00011,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
35,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 1, 0, 1, 1)",11011,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
36,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 0, 1, 0)",10010,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
37,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 1, 1, 1)",10111,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
38,"(1, 0, 0, 1, 0)",10010,-2,True,2,True,"(1, 0, 0, 1, 0)",10010,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
39,"(1, 0, 0, 1, 0)",10010,-2,True,2,False,"(1, 0, 1, 1, 0)",10110,2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
40,"(1, 0, 0, 1, 1)",10011,-3,True,3,True,"(1, 0, 0, 1, 1)",10011,-3,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
41,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 1, 1, 1)",10111,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
42,"(1, 0, 0, 0, 1)",10001,-2,True,2,True,"(1, 0, 0, 0, 1)",10001,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
43,"(1, 0, 0, 0, 1)",10001,-2,True,2,False,"(1, 0, 1, 0, 1)",10101,7,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
44,"(1, 0, 0, 0, 1)",10001,-2,True,2,False,"(1, 0, 1, 0, 1)",10101,7,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
45,"(1, 0, 0, 0, 1)",10001,-2,True,2,False,"(1, 0, 0, 0, 0)",10000,-1,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
46,"(1, 0, 0, 1, 1)",10011,-3,True,3,True,"(1, 0, 0, 1, 1)",10011,-3,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
47,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 0, 0, 1)",10001,-2,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
48,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 1, 0, 1, 1)",11011,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
49,"(1, 0, 0, 1, 1)",10011,-3,True,3,False,"(1, 0, 1, 1, 1)",10111,6,"(1, 0, 0, 1, 1)",10011,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0)",10010,graph_5,0
